Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "OpenROV Controller 2.8.brd" as of: 5/27/2015 1:51:19 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
R26,Top,5.593,1.935,0
R27,Top,5.403,1.725,0
R28,Top,5.403,1.830,0
R29,Top,5.403,1.935,0
R30,Top,5.213,1.725,0
R31,Top,5.213,1.830,0
R32,Top,5.213,1.935,0
R33,Top,5.023,1.725,0
R34,Top,5.023,1.830,0
R35,Top,5.023,1.935,0
R36,Top,5.533,2.125,90
R37,Top,5.353,2.125,90
R38,Top,5.178,2.125,90
R39,Top,5.003,2.125,90
R40,Top,5.618,2.125,90
R41,Top,5.438,2.125,90
R42,Top,5.263,2.125,90
R43,Top,5.088,2.125,90
R44,Top,3.373,2.290,270
R45,Top,3.138,2.040,0
R46,Top,3.768,0.765,0
R47,Top,4.198,0.765,0
R48,Top,4.048,0.765,180
R49,Top,2.043,1.545,90
R50,Top,2.063,1.260,270
R51,Top,3.643,0.415,0
R52,Top,3.338,0.110,0
R53,Top,3.388,0.430,0
R54,Top,3.238,0.380,90
R55,Top,4.678,2.290,270
R56,Top,4.713,2.390,0
R57,Top,4.963,2.535,0
R58,Top,4.963,2.640,0
R59,Top,2.163,1.685,180
R60,Top,2.178,1.400,180
R61,Top,2.183,1.075,180
R62,Top,3.908,0.765,180
R63,Top,3.678,0.305,90
R64,Top,3.813,0.305,90
R65,Top,3.948,0.305,90
R66,Top,2.103,0.925,90
R67,Top,2.835,2.425,0
R68,Top,2.775,2.107,0
R69,Top,4.570,1.530,180
R70,Top,1.465,0.570,180
R71,Top,1.480,0.140,180
R72,Top,1.480,0.240,180
R73,Top,1.345,2.405,270
R74,Top,1.465,2.405,270
R75,Top,3.320,1.200,180
R76,Top,3.515,1.200,180
SENS1,Top,3.028,2.235,0
SENS2,Top,3.333,2.475,0
U1,Top,2.663,2.125,180
U2,Top,2.713,2.485,180
U3,Top,4.898,1.410,180
U4,Top,5.328,0.915,180
U5,Top,4.583,1.760,0
U6,Top,3.953,2.290,90
U7,Top,4.148,1.730,0
U8,Top,3.438,0.270,90
U9,Top,2.148,1.530,0
U10,Top,2.158,1.230,0
U11,Top,2.218,0.935,0
U12,Top,4.838,2.125,270
X1,Top,4.533,2.170,270
